Source_Database_Code,LocationID,LocationName,LocationAbbreviation,LocationNPINumber,LocationAddress,LocationAddress2,LocationCity,LocationState,LocationZip,LocationPhone,LocationFax,LocationType,LocationFDANumber,LocationAlternativeAddress,LocationAlternativeAddress2,LocationAlternativecity,LocationAlternativestate,LocationAlternativezip,tbl_Refresh_Date,LocationPhone_norm,LocationFax_norm,birdeye_review_count,birdeye_avg_rating,birdeye_median_rating,birdeye_one_star_count,birdeye_two_star_count,birdeye_three_star_count,birdeye_four_star_count,birdeye_five_star_count,birdeye_last_review_date,birdeye_first_review_date,birdeye_review_with_comment_count,birdeye_phi_review_count,birdeye_phi_phone_total,birdeye_phi_email_total,birdeye_phi_ssn_total,birdeye_one_star_pct,birdeye_one_or_two_star_pct
RADY,7,RADY Radiology Location 7,RADY07,1244062778,345 MAIN LN,,COLUMBUS,OH,43201,,,Professional,,345 MAIN LN,,COLUMBUS,OH,43201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADH,7,RADH Radiology Location 7,RADH07,1410438097,5822 CHURCH PL,,PLANO,TX,75023,(817)670-6554,,Professional,,5822 CHURCH PL,,PLANO,TX,,2026-05-01,8176706554,,,,,,,,,,,,,,,,,,
RADX,5,RADX Radiology Location 5,RADX05,1906902417,5678 RIVER ST,APT 378,DALLAS,TX,75201,,(210)663-3224,Professional,,,,,,75201,2026-05-01,,2106633224,,,,,,,,,,,,,,,,,
RADM,4,RADM Radiology Location 4,RADM04,1250171052,5155 MAIN DR,,DALLAS,TX,75201,,,Professional,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RASFA,5,RASFA Radiology Location 5,RASFA05,,225 AMANA AVE,APT 83,AUSTIN,TX,78701,,,Global,,225 AMANA AVE,,AUSTIN,TX,78701,2026-05-01,,,,,,,,,,,,,,,,,,,
WRAD,6,WRAD Radiology Location 6,WRAD06,1491303532,6838 SUNSET PL,,RENO,NV,89501,(725)262-6071,(725)728-5762,Global,,,,RENO,NV,,2026-05-01,7252626071,7257285762,,,,,,,,,,,,,,,,,
ESR,7,ESR Radiology Location 7,ESR07,,9271 CEDAR WAY,,FORT LAUDERDALE,FL,33301,,,Global,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
PMR,6,PMR Radiology Location 6,PMR06,,859 ELM RD,,FRANKLIN,TN,37064,(423)732-8795,(423)404-5131,Global,,,,,,,2026-05-01,4237328795,4234045131,,,,,,,,,,,,,,,,,
RADM,5,RADM Radiology Location 5,RADM05,1417290388,879 ELM ST,,FORT WORTH,TX,76101,(210)645-9739,,Professional,,879 ELM ST,,FORT WORTH,,76101,2026-05-01,2106459739,,,,,,,,,,,,,,,,,,
PMR,7,PMR Radiology Location 7,PMR07,,7864 LAKE RD,,MURFREESBORO,TN,37128,,,Professional,,7864 LAKE RD,,MURFREESBORO,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADH,8,RADH Radiology Location 8,RADH08,,3803 RIVER WAY,,FORT WORTH,TX,76101,,,Professional,,3803 RIVER WAY,,,TX,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADI,4,RADI Radiology Location 4,RADI04,,257 HILL PL,,ATLANTA,GA,30301,,,Professional,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADS2,9,RADS2 Radiology Location 9,RADS209,1143603561,5857 SPRING WAY,,AUSTIN,TX,78701,,,Facility,,5857 SPRING WAY,,,TX,78701,2026-05-01,,,,,,,,,,,,,,,,,,,
RADN,5,RADN Radiology Location 5,RADN05,1663315278,9295 LAKE AVE,,DAYTON,OH,45401,(330)618-5343,,Professional,,,,,OH,45401,2026-05-01,3306185343,,,,,,,,,,,,,,,,,,
GRH,6,GRH Radiology Location 6,GRH06,1812905346,5349 OAK BLVD,,ATLANTA,GA,30301,(912)637-6129,,Professional,,,,,,30301,2026-05-01,9126376129,,,,,,,,,,,,,,,,,,
WRAD,7,WRAD Radiology Location 7,WRAD07,,6637 CHURCH LN,,CARSON CITY,NV,89701,(775)252-1796,,Professional,,6637 CHURCH LN,,CARSON CITY,NV,,2026-05-01,7752521796,,,,,,,,,,,,,,,,,,
IAI,6,IAI Radiology Location 6,IAI06,,7061 MAIN WAY,,AUSTIN,TX,78701,,,Professional,,7061 MAIN WAY,,,TX,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADF,8,RADF Radiology Location 8,RADF08,,7460 OAK PL,,CARSON CITY,NV,89701,(725)967-2210,,Professional,219395,,,,,,2026-05-01,7259672210,,,,,,,,,,,,,,,,,,
RADS2,10,RADS2 Radiology Location 10,RADS210,,1381 RIVER CIR,,DALLAS,TX,75201,,,Professional,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADY,8,RADY Radiology Location 8,RADY08,1371998131,9103 MAIN WAY,,COLUMBUS,OH,43201,,,Professional,,,,,OH,43201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADP,2,RADP Radiology Location 2,RADP02,,9797 PARK LN,,COLUMBUS,GA,31901,,,Professional,,9797 PARK LN,,,GA,,2026-05-01,,,,,,,,,,,,,,,,,,,
RASFA,6,RASFA Radiology Location 6,RASFA06,,5429 PARK ST,,FORT WORTH,TX,76101,(713)428-9559,,Facility,,5429 PARK ST,,,,,2026-05-01,7134289559,,,,,,,,,,,,,,,,,,
NRA,5,NRA Radiology Location 5,NRA05,,3309 RIVER PL,,FRANKLIN,TN,37064,(423)921-8958,(423)548-4301,Global,686765,,,,TN,37064,2026-05-01,4239218958,4235484301,,,,,,,,,,,,,,,,,
RADM,6,RADM Radiology Location 6,RADM06,,1327 MAIN BLVD,,FORT WORTH,TX,76101,(972)916-2259,,Professional,,,,,,,2026-05-01,9729162259,,,,,,,,,,,,,,,,,,
RADS,5,RADS Radiology Location 5,RADS05,1490880216,921 RIVER LN,,LEBANON,TN,37087,(423)453-3774,,Outpatient,,921 RIVER LN,,LEBANON,,37087,2026-05-01,4234533774,,,,,,,,,,,,,,,,,,
RADO,8,RADO Radiology Location 8,RADO08,1816501728,2163 OAK ST,,FORT LAUDERDALE,FL,33301,,,Global,,,,,FL,33301,2026-05-01,,,,,,,,,,,,,,,,,,,
ACRB,8,ACRB Radiology Location 8,ACRB08,1274202401,1646 AMANA LN,,CINCINNATI,OH,45201,(614)447-7215,(614)437-9304,Global,,,,CINCINNATI,OH,,2026-05-01,6144477215,6144379304,,,,,,,,,,,,,,,,,
RADA,7,RADA Radiology Location 7,RADA07,1334100303,1598 PINE AVE,,FRANKLIN,TN,37064,(865)551-9015,,Global,365535,,,FRANKLIN,TN,37064,2026-05-01,8655519015,,,,,,,,,,,,,,,,,,
RADY,9,RADY Radiology Location 9,RADY09,1770810280,5233 ELM BLVD,,DAYTON,OH,45401,,,Facility,,5233 ELM BLVD,,DAYTON,OH,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADK,10,RADK Radiology Location 10,RADK10,1560209850,4281 SPRING WAY,,ATLANTA,GA,30301,(706)710-3473,,Professional,,,,,GA,30301,2026-05-01,7067103473,,,,,,,,,,,,,,,,,,
RADJ,8,RADJ Radiology Location 8,RADJ08,,1803 CHURCH WAY,,TAMPA,FL,33601,,,Professional,,,,,FL,,2026-05-01,,,,,,,,,,,,,,,,,,,
SMED,2,SMED Radiology Location 2,SMED02,1036894361,4769 HILL CT,,SAN ANTONIO,TX,78201,,,Professional,,,,SAN ANTONIO,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADU,15,RADU Radiology Location 15,RADU15,1962014362,4100 CEDAR RD,,ST PETE,FL,33701,,,Global,996101,4100 CEDAR RD,,ST PETE,FL,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADP,3,RADP Radiology Location 3,RADP03,,7023 CEDAR LN,APT 484,ATHENS,GA,30601,,,Professional,,7023 CEDAR LN,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
CRC,5,CRC Radiology Location 5,CRC05,,1064 AMANA WAY,,CLEVELAND,OH,44101,,,Global,,,,,,44101,2026-05-01,,,,,,,,,,,,,,,,,,,
RADM,7,RADM Radiology Location 7,RADM07,1085944621,2463 CEDAR DR,,AUSTIN,TX,78701,(214)470-4249,(214)256-9350,Global,,,,,,78701,2026-05-01,2144704249,2142569350,,,,,,,,,,,,,,,,,
RADI2,5,RADI2 Radiology Location 5,RADI205,1255780653,6071 AMANA ST,,CINCINNATI,OH,45201,(330)226-2057,,Professional,,6071 AMANA ST,,CINCINNATI,OH,45201,2026-05-01,3302262057,,,,,,,,,,,,,,,,,,
RADU,16,RADU Radiology Location 16,RADU16,,8297 MAPLE LN,,JACKSONVILLE,FL,32099,(954)449-1456,,Global,,,,JACKSONVILLE,FL,,2026-05-01,9544491456,,,,,,,,,,,,,,,,,,
SAPA,8,SAPA Radiology Location 8,SAPA08,1279009802,8442 MAIN RD,APT 233,PLANO,TX,75023,,,Global,,8442 MAIN RD,,PLANO,TX,75023,2026-05-01,,,,,,,,,,,,,,,,,,,
RADQ,6,RADQ Radiology Location 6,RADQ06,,4769 HILL ST,,NORTH LAS VEGAS,NV,89030,,,Professional,,,,NORTH LAS VEGAS,,89030,2026-05-01,,,,,,,,,,,,,,,,,,,
PMR,8,PMR Radiology Location 8,PMR08,1902643220,9342 MAPLE CIR,,LEBANON,TN,37087,,,Professional,,,,,TN,37087,2026-05-01,,,,,,,,,,,,,,,,,,,
RASFA,7,RASFA Radiology Location 7,RASFA07,,6911 SCHOOL LN,,DALLAS,TX,75201,,,Global,112851,,,DALLAS,,75201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADE,10,RADE Radiology Location 10,RADE10,1755244004,2880 MAIN LN,APT 310,FORT LAUDERDALE,FL,33301,(813)924-9775,,Professional,,,,FORT LAUDERDALE,FL,33301,2026-05-01,8139249775,,,,,,,,,,,,,,,,,,
RADB,9,RADB Radiology Location 9,RADB09,1840251019,9420 OAK WAY,,PLANO,TX,75023,,,Professional,,,,PLANO,,75023,2026-05-01,,,,,,,,,,,,,,,,,,,
ESR,8,ESR Radiology Location 8,ESR08,1832319303,3499 SPRING CIR,,FORT LAUDERDALE,FL,33301,,,Professional,,3499 SPRING CIR,,,,33301,2026-05-01,,,,,,,,,,,,,,,,,,,
CIRPA,6,CIRPA Radiology Location 6,CIRPA06,1994508088,7131 PINE CT,,JACKSONVILLE,FL,32099,,,Global,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADS2,11,RADS2 Radiology Location 11,RADS211,1195241622,5945 PINE ST,,FORT WORTH,TX,76101,,,Professional,,5945 PINE ST,,,,76101,2026-05-01,,,,,,,,,,,,,,,,,,,
PMR,9,PMR Radiology Location 9,PMR09,1247710806,1556 PARK RD,,FRANKLIN,TN,37064,,,Professional,,1556 PARK RD,,FRANKLIN,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADD,7,RADD Radiology Location 7,RADD07,,2803 CHURCH LN,,MACON,GA,31201,(478)805-0189,,Professional,,,,MACON,GA,,2026-05-01,4788050189,,,,,,,,,,,,,,,,,,
GSIA,5,GSIA Radiology Location 5,GSIA05,,2970 MAIN WAY,,SAN ANTONIO,TX,78201,,,Professional,,,,,,78201,2026-05-01,,,,,,,,,,,,,,,,,,,
